opportunity_id,account_name,owner,segment,region,stage,amount,probability,expected_close_date,is_closed_won,created_date,join_key
OPP_00037,Account_37,Rep_18,Enterprise,APAC,Proposal,95176,0.759974248706121,2025-02-12,0,2024-12-04,1
OPP_00038,Account_38,Rep_9,Mid,AMER,Qualification,73870,0.357191651244509,2025-06-27,1,2024-02-16,1
OPP_00039,Account_39,Rep_2,Mid,APAC,Closed Lost,48387,0.6861774765583675,2025-04-24,1,2024-11-03,1
OPP_00040,Account_40,Rep_20,Enterprise,EMEA,Closed Won,53927,0.8621044956841987,2025-03-15,1,2024-08-11,1
OPP_00041,Account_41,Rep_15,SMB,EMEA,Qualification,10304,0.7429888213709939,2025-03-22,0,2024-02-26,1
OPP_00042,Account_42,Rep_7,Enterprise,EMEA,Negotiation,18032,0.5211540767048246,2025-04-04,0,2024-03-15,1
OPP_00043,Account_43,Rep_12,SMB,AMER,Negotiation,92291,0.4336442456455756,2025-05-21,0,2024-09-10,1
OPP_00044,Account_44,Rep_8,Enterprise,EMEA,Closed Lost,60486,0.19428174074814275,2025-01-30,0,2024-05-30,1
OPP_00045,Account_45,Rep_15,SMB,AMER,Qualification,66552,0.5621079275828408,2025-01-30,0,2024-02-28,1
OPP_00046,Account_46,Rep_3,Enterprise,APAC,Qualification,74844,0.2769565544058161,2025-01-10,0,2024-11-20,1
OPP_00047,Account_47,Rep_14,Enterprise,EMEA,Closed Lost,30654,0.3413730672772126,2025-04-09,0,2024-03-26,1
OPP_00048,Account_48,Rep_17,SMB,AMER,Closed Lost,40244,0.26185083985266566,2025-04-04,0,2024-06-18,1
OPP_00049,Account_49,Rep_4,Mid,EMEA,Closed Won,6942,0.407921533468669,2025-02-08,0,2024-05-25,1
OPP_00050,Account_50,Rep_18,Enterprise,AMER,Closed Won,51697,0.4944061171026035,2025-02-06,0,2024-11-22,1
OPP_00051,Account_51,Rep_8,Mid,APAC,Qualification,3693,0.5547229162331411,2025-05-11,0,2024-02-02,1
OPP_00052,Account_52,Rep_4,Enterprise,EMEA,Negotiation,57751,0.37989867291720736,2025-03-30,0,2024-01-03,1
OPP_00053,Account_53,Rep_2,Mid,EMEA,Qualification,82098,0.7138567412790366,2025-06-11,0,2024-10-10,1
OPP_00054,Account_54,Rep_6,SMB,AMER,Qualification,7259,0.4583589484020068,2025-06-15,0,2024-09-13,1
OPP_00055,Account_55,Rep_10,SMB,APAC,Closed Won,5942,0.34245551334689617,2025-01-14,1,2024-05-05,1
OPP_00056,Account_56,Rep_4,SMB,AMER,Qualification,48419,0.5452584534486873,2025-02-08,0,2024-04-22,1
OPP_00057,Account_57,Rep_18,Enterprise,EMEA,Proposal,57105,0.8927105667087631,2025-05-10,1,2024-10-29,1
OPP_00058,Account_58,Rep_12,SMB,APAC,Closed Lost,66907,0.5670321133070235,2025-02-12,0,2024-10-19,1
OPP_00059,Account_59,Rep_2,Mid,EMEA,Qualification,28383,0.42742887452527856,2025-05-11,0,2024-12-07,1
OPP_00060,Account_60,Rep_10,Mid,EMEA,Closed Lost,24404,0.19450772877625916,2025-06-18,0,2024-02-17,1
OPP_00061,Account_61,Rep_4,Mid,EMEA,Closed Lost,73656,0.4561175358055859,2025-01-08,0,2024-12-29,1
OPP_00062,Account_62,Rep_14,Enterprise,AMER,Negotiation,6702,0.5469856250176232,2025-04-06,0,2024-10-01,1
OPP_00063,Account_63,Rep_16,Enterprise,EMEA,Qualification,74883,0.422483821748886,2025-03-06,0,2024-07-13,1
OPP_00064,Account_64,Rep_15,Mid,EMEA,Proposal,57332,0.16692307235180004,2025-03-20,1,2024-12-04,1
OPP_00065,Account_65,Rep_8,Enterprise,EMEA,Proposal,40419,0.32988692209931325,2025-05-12,1,2024-08-12,1
OPP_00066,Account_66,Rep_14,Enterprise,APAC,Proposal,91576,0.7909076921775515,2025-03-09,1,2024-07-31,1
OPP_00067,Account_67,Rep_8,Mid,APAC,Proposal,89078,0.7868002007460921,2025-04-02,1,2024-11-16,1
OPP_00068,Account_68,Rep_16,Enterprise,EMEA,Closed Lost,74844,0.32267216615908034,2025-01-10,0,2024-10-08,1
OPP_00069,Account_69,Rep_13,SMB,EMEA,Qualification,40242,0.6345513574398844,2025-03-16,0,2024-05-17,1
OPP_00070,Account_70,Rep_18,SMB,APAC,Closed Won,35142,0.26428544304596524,2025-06-27,0,2024-12-20,1
OPP_00071,Account_71,Rep_15,Enterprise,EMEA,Qualification,97226,0.7808632563989906,2025-05-31,0,2024-11-28,1
OPP_00072,Account_72,Rep_13,Mid,EMEA,Negotiation,8393,0.5490471695788472,2025-03-02,0,2024-03-10,1
OPP_00073,Account_73,Rep_9,Enterprise,APAC,Closed Lost,70939,0.6899282997233067,2025-02-16,1,2024-10-25,1
OPP_00074,Account_74,Rep_15,Enterprise,EMEA,Proposal,70082,0.15698133056349217,2025-01-03,0,2024-03-10,1
OPP_00075,Account_75,Rep_13,SMB,APAC,Qualification,29893,0.6355274203849777,2025-04-13,0,2024-07-26,1
OPP_00076,Account_76,Rep_1,Enterprise,AMER,Negotiation,10388,0.4984651872630993,2025-01-17,0,2024-07-18,1
OPP_00077,Account_77,Rep_7,Mid,AMER,Closed Won,63969,0.6703858141581686,2025-01-22,0,2024-02-28,1
OPP_00078,Account_78,Rep_9,Mid,AMER,Negotiation,37660,0.68297355961957,2025-04-26,0,2024-09-15,1
OPP_00079,Account_79,Rep_1,Mid,APAC,Proposal,90244,0.5131569378949499,2025-04-01,1,2024-12-06,1
OPP_00080,Account_80,Rep_12,Enterprise,AMER,Proposal,25726,0.37983407218081705,2025-05-24,1,2024-12-16,1
OPP_00081,Account_81,Rep_8,SMB,AMER,Closed Lost,80544,0.6559392364358989,2025-04-14,0,2024-11-29,1
OPP_00082,Account_82,Rep_11,Mid,AMER,Closed Lost,63996,0.4879691001189745,2025-01-03,0,2024-12-22,1
OPP_00083,Account_83,Rep_19,Mid,APAC,Proposal,1111,0.32544300929447145,2025-02-21,0,2024-12-04,1
OPP_00084,Account_84,Rep_17,Mid,EMEA,Closed Won,18545,0.3159695537084628,2025-04-21,0,2024-06-13,1
OPP_00085,Account_85,Rep_8,Mid,AMER,Proposal,41168,0.20456711673752365,2025-06-10,1,2024-09-01,1
OPP_00086,Account_86,Rep_3,SMB,EMEA,Proposal,3379,0.39794176808738735,2025-02-11,0,2024-03-24,1
OPP_00087,Account_87,Rep_3,SMB,EMEA,Qualification,96773,0.7205384092148757,2025-05-10,0,2024-11-04,1
OPP_00088,Account_88,Rep_1,SMB,EMEA,Proposal,88346,0.5355659599410868,2025-02-08,0,2024-04-23,1
OPP_00089,Account_89,Rep_5,Enterprise,EMEA,Negotiation,42120,0.39404645881539185,2025-02-15,1,2024-08-21,1
OPP_00090,Account_90,Rep_10,SMB,APAC,Qualification,18809,0.6609711876360159,2025-02-17,0,2024-09-18,1
OPP_00091,Account_91,Rep_7,SMB,EMEA,Proposal,53813,0.33350467565532227,2025-01-27,0,2024-06-20,1
OPP_00092,Account_92,Rep_9,Enterprise,APAC,Closed Won,75005,0.5190700548665557,2025-01-15,0,2024-01-18,1
OPP_00093,Account_93,Rep_7,SMB,EMEA,Negotiation,28967,0.46407392545489695,2025-01-07,0,2024-08-22,1
OPP_00094,Account_94,Rep_9,Enterprise,APAC,Negotiation,10748,0.6558261251176705,2025-04-19,0,2024-11-05,1
OPP_00095,Account_95,Rep_8,Mid,EMEA,Closed Lost,24424,0.18455432581609982,2025-02-11,0,2024-06-05,1
OPP_00096,Account_96,Rep_12,Enterprise,APAC,Qualification,87512,0.3299604508370688,2025-01-09,1,2024-07-29,1
OPP_00097,Account_97,Rep_2,SMB,EMEA,Negotiation,24914,0.17235086818109324,2025-04-15,0,2024-10-07,1
OPP_00098,Account_98,Rep_1,SMB,AMER,Closed Won,96603,0.448080655638146,2025-05-14,0,2024-11-14,1
OPP_00099,Account_99,Rep_16,Mid,APAC,Negotiation,79478,0.7422855007264861,2025-03-17,0,2024-07-14,1
OPP_00100,Account_100,Rep_5,Enterprise,APAC,Proposal,20491,0.39891055806929454,2025-01-30,0,2024-04-24,1
OPP_00101,Account_101,Rep_3,Mid,APAC,Qualification,50454,0.39786321236086986,2025-03-25,0,2024-06-08,1
OPP_00102,Account_102,Rep_12,SMB,AMER,Closed Lost,71069,0.6743448848368273,2025-05-06,0,2024-06-03,1
OPP_00103,Account_103,Rep_8,Enterprise,EMEA,Proposal,52925,0.7137099116910599,2025-03-25,0,2024-02-20,1
OPP_00104,Account_104,Rep_3,Enterprise,EMEA,Closed Lost,90119,0.482285786546242,2025-02-23,0,2024-10-10,1
OPP_00105,Account_105,Rep_1,Mid,APAC,Negotiation,38049,0.6369429708099784,2025-04-20,1,2024-03-13,1
OPP_00106,Account_106,Rep_3,Enterprise,EMEA,Negotiation,28821,0.28460909182441074,2025-01-27,1,2024-11-23,1
OPP_00107,Account_107,Rep_5,Enterprise,AMER,Closed Won,96797,0.7755948667850827,2025-03-25,0,2024-12-06,1
OPP_00108,Account_108,Rep_15,Mid,AMER,Negotiation,30945,0.9297412587874103,2025-01-07,0,2024-04-19,1
OPP_00109,Account_109,Rep_14,SMB,EMEA,Proposal,18384,0.604243158237745,2025-06-17,0,2024-10-12,1
OPP_00110,Account_110,Rep_3,Mid,APAC,Negotiation,29410,0.08313367573143987,2025-04-14,0,2024-08-08,1
OPP_00111,Account_111,Rep_1,SMB,APAC,Closed Won,78734,0.38835394752044317,2025-03-13,0,2024-01-09,1
OPP_00112,Account_112,Rep_5,Mid,APAC,Proposal,64766,0.6225650643338643,2025-01-02,0,2024-03-22,1
OPP_00113,Account_113,Rep_14,Mid,APAC,Proposal,95890,0.41570340056672744,2025-05-22,1,2024-11-15,1
OPP_00114,Account_114,Rep_7,SMB,APAC,Qualification,8169,0.7544397108500196,2025-05-18,0,2024-10-20,1
OPP_00115,Account_115,Rep_9,SMB,APAC,Closed Lost,41129,0.617631452887173,2025-02-19,1,2024-01-22,1
OPP_00116,Account_116,Rep_15,SMB,EMEA,Qualification,98445,0.3587048998468407,2025-05-26,0,2024-04-08,1
OPP_00117,Account_117,Rep_15,Enterprise,AMER,Negotiation,4830,0.5064529621542505,2025-01-18,0,2024-06-18,1
OPP_00118,Account_118,Rep_10,Enterprise,EMEA,Proposal,57306,0.32123335587218194,2025-01-16,0,2024-07-08,1
OPP_00119,Account_119,Rep_13,SMB,AMER,Proposal,87940,0.46348302431751165,2025-02-21,1,2024-04-15,1
OPP_00120,Account_120,Rep_19,Enterprise,AMER,Negotiation,66267,0.38908135191348964,2025-06-29,0,2024-11-15,1
OPP_00121,Account_121,Rep_7,Mid,APAC,Qualification,28757,0.7349523600466077,2025-06-08,0,2024-09-21,1
OPP_00122,Account_122,Rep_17,SMB,AMER,Negotiation,64867,0.923202411366199,2025-03-25,0,2024-12-16,1
OPP_00123,Account_123,Rep_20,SMB,APAC,Closed Won,36650,0.2137623333528496,2025-05-31,0,2024-06-16,1
OPP_00124,Account_124,Rep_4,Mid,EMEA,Closed Won,34766,0.11535674275804952,2025-04-06,0,2024-12-09,1
OPP_00125,Account_125,Rep_5,Enterprise,EMEA,Qualification,82478,0.45096551562972287,2025-02-11,0,2024-04-22,1
OPP_00126,Account_126,Rep_7,Mid,AMER,Closed Lost,33419,0.19631686023426348,2025-04-23,1,2024-11-23,1
OPP_00127,Account_127,Rep_13,SMB,APAC,Negotiation,17668,0.5092423207341834,2025-06-27,0,2024-11-01,1
OPP_00128,Account_128,Rep_15,SMB,APAC,Closed Lost,17246,0.6497872227611854,2025-05-04,0,2024-05-27,1
OPP_00129,Account_129,Rep_11,Mid,AMER,Proposal,25996,0.798828379453365,2025-01-15,0,2024-12-02,1
OPP_00130,Account_130,Rep_4,SMB,APAC,Negotiation,52312,0.5402789117430562,2025-03-31,0,2024-08-07,1
OPP_00131,Account_131,Rep_13,SMB,EMEA,Closed Lost,4065,0.4613689550300842,2025-06-21,1,2024-02-02,1
OPP_00132,Account_132,Rep_7,SMB,AMER,Closed Lost,11467,0.10432301668538313,2025-02-11,0,2024-08-07,1
OPP_00133,Account_133,Rep_19,Enterprise,AMER,Proposal,51646,0.5052370298371597,2025-02-14,0,2024-11-14,1
OPP_00134,Account_134,Rep_2,Enterprise,AMER,Proposal,22007,0.5142574521098924,2025-04-04,0,2024-07-03,1
OPP_00135,Account_135,Rep_10,Mid,AMER,Proposal,69079,0.6277913628425491,2025-04-17,0,2024-07-11,1
OPP_00136,Account_136,Rep_13,Enterprise,APAC,Proposal,29702,0.35830237969418177,2025-06-12,0,2024-12-26,1
OPP_00137,Account_137,Rep_6,SMB,AMER,Proposal,95369,0.4129894799528281,2025-01-22,0,2024-06-28,1
OPP_00138,Account_138,Rep_12,Mid,EMEA,Proposal,76569,0.20439954893916312,2025-05-08,0,2024-12-20,1
OPP_00139,Account_139,Rep_12,SMB,EMEA,Closed Lost,54952,0.04174143862318691,2025-02-07,0,2024-01-06,1
OPP_00140,Account_140,Rep_20,Mid,APAC,Qualification,59065,0.2783005818406433,2025-04-07,0,2024-01-09,1
OPP_00141,Account_141,Rep_11,Enterprise,EMEA,Negotiation,35169,0.18593483714939668,2025-04-11,1,2024-12-22,1
OPP_00142,Account_142,Rep_7,Mid,AMER,Qualification,17829,0.5673424590841223,2025-01-07,0,2024-03-01,1
OPP_00143,Account_143,Rep_1,SMB,AMER,Proposal,61135,0.3963731886666285,2025-02-13,0,2024-06-11,1
OPP_00144,Account_144,Rep_1,Mid,EMEA,Qualification,5522,0.3923525739850422,2025-03-17,0,2024-04-08,1
OPP_00145,Account_145,Rep_20,SMB,APAC,Proposal,86687,0.3031173907649576,2025-01-07,0,2024-05-27,1
OPP_00146,Account_146,Rep_13,Enterprise,EMEA,Closed Won,36319,0.0,2025-03-01,0,2024-02-27,1
OPP_00147,Account_147,Rep_9,Mid,AMER,Closed Lost,27543,0.8016621497495101,2025-01-01,0,2024-08-02,1
OPP_00148,Account_148,Rep_3,Mid,AMER,Qualification,31473,0.29994589544464234,2025-03-03,1,2024-11-11,1
OPP_00149,Account_149,Rep_7,Mid,EMEA,Proposal,8699,0.4175159860300186,2025-03-28,0,2024-06-30,1
OPP_00150,Account_150,Rep_6,Mid,APAC,Proposal,69165,0.20902156694213786,2025-03-30,0,2024-02-04,1
OPP_00151,Account_151,Rep_8,SMB,EMEA,Closed Lost,41455,0.6943860686881268,2025-01-18,0,2024-10-29,1
OPP_00152,Account_152,Rep_9,Mid,EMEA,Closed Won,76692,0.5286857874074649,2025-04-18,1,2024-02-15,1
OPP_00153,Account_153,Rep_5,SMB,AMER,Negotiation,18441,0.33472694294682626,2025-05-15,1,2024-03-27,1
OPP_00154,Account_154,Rep_1,Mid,EMEA,Negotiation,31716,0.42155407773119524,2025-04-25,0,2024-01-04,1
OPP_00155,Account_155,Rep_19,Enterprise,EMEA,Closed Won,63175,0.8356359844249741,2025-02-23,0,2024-09-22,1
OPP_00156,Account_156,Rep_10,Enterprise,EMEA,Qualification,7834,0.48540611362374436,2025-03-08,0,2024-04-16,1
OPP_00157,Account_157,Rep_12,Mid,APAC,Proposal,19179,0.46365329247681886,2025-04-03,0,2024-03-15,1
OPP_00158,Account_158,Rep_15,Mid,AMER,Closed Lost,27219,0.31172370277214695,2025-05-18,0,2024-02-09,1
OPP_00159,Account_159,Rep_9,SMB,EMEA,Closed Won,16782,0.12108376990553937,2025-02-28,0,2024-05-06,1
OPP_00160,Account_160,Rep_20,Enterprise,EMEA,Negotiation,82363,0.4679922652841311,2025-03-10,0,2024-07-01,1
OPP_00161,Account_161,Rep_17,SMB,EMEA,Negotiation,75967,0.5650970224649235,2025-04-08,0,2024-04-28,1
OPP_00162,Account_162,Rep_17,Mid,EMEA,Proposal,10496,0.719916892865534,2025-01-08,0,2024-03-13,1
OPP_00163,Account_163,Rep_20,SMB,EMEA,Negotiation,89867,0.050300693100068905,2025-02-24,0,2024-02-09,1
OPP_00164,Account_164,Rep_12,SMB,AMER,Negotiation,40238,0.2749807345953942,2025-05-14,0,2024-07-22,1
OPP_00165,Account_165,Rep_7,Mid,APAC,Proposal,47025,0.38385178188870994,2025-05-09,0,2024-04-05,1
OPP_00166,Account_166,Rep_2,SMB,EMEA,Closed Won,60886,0.49930383028535963,2025-02-25,0,2024-10-05,1
OPP_00167,Account_167,Rep_3,Mid,APAC,Closed Lost,24563,0.4709932616943155,2025-04-14,1,2024-05-22,1
OPP_00168,Account_168,Rep_17,SMB,EMEA,Qualification,4712,0.4756622628625461,2025-04-24,0,2024-04-24,1
OPP_00169,Account_169,Rep_5,SMB,APAC,Proposal,95067,0.5816192117139889,2025-03-29,0,2024-05-12,1
OPP_00170,Account_170,Rep_17,Mid,EMEA,Proposal,46489,0.31934137784417815,2025-05-18,0,2024-06-16,1
OPP_00171,Account_171,Rep_17,SMB,AMER,Negotiation,33664,0.6868282884467389,2025-04-18,0,2024-09-01,1
OPP_00172,Account_172,Rep_17,SMB,AMER,Qualification,13420,0.5866904883398961,2025-01-23,0,2024-10-03,1
OPP_00173,Account_173,Rep_2,Mid,EMEA,Negotiation,55610,0.43603354717438414,2025-05-24,0,2024-09-15,1
OPP_00174,Account_174,Rep_2,SMB,EMEA,Closed Lost,6315,0.8201815983777831,2025-04-11,0,2024-02-15,1
OPP_00175,Account_175,Rep_5,Enterprise,APAC,Proposal,71917,0.8112832071143534,2025-05-24,0,2024-12-11,1
OPP_00176,Account_176,Rep_1,SMB,EMEA,Closed Lost,76033,0.6865790710387617,2025-02-25,0,2024-11-30,1
OPP_00177,Account_177,Rep_1,SMB,AMER,Closed Lost,95576,0.0,2025-04-18,0,2024-08-24,1
OPP_00178,Account_178,Rep_19,Mid,APAC,Qualification,98911,0.8157890185435951,2025-04-05,1,2024-02-22,1
OPP_00179,Account_179,Rep_2,SMB,EMEA,Qualification,80030,0.6589517044943869,2025-01-06,0,2024-05-27,1
OPP_00180,Account_180,Rep_12,SMB,AMER,Closed Lost,64910,0.9012817275425873,2025-01-30,0,2024-07-05,1
OPP_00181,Account_181,Rep_6,SMB,AMER,Closed Lost,98288,0.7474929183467077,2025-05-09,1,2024-01-21,1
OPP_00182,Account_182,Rep_4,SMB,APAC,Qualification,61972,0.8156685354994571,2025-02-20,0,2024-03-30,1
OPP_00183,Account_183,Rep_11,Enterprise,EMEA,Qualification,91893,0.6757309700360759,2025-04-16,0,2024-08-20,1
OPP_00184,Account_184,Rep_17,SMB,APAC,Qualification,56919,0.7697386397291024,2025-03-30,0,2024-08-02,1
OPP_00185,Account_185,Rep_6,Enterprise,APAC,Closed Lost,83486,0.8988247481468881,2025-05-07,0,2024-02-20,1
OPP_00186,Account_186,Rep_5,Enterprise,AMER,Qualification,82288,0.5433109476756411,2025-02-15,0,2024-06-01,1
OPP_00187,Account_187,Rep_20,Mid,AMER,Negotiation,5132,0.18555389118437404,2025-05-01,0,2024-11-19,1
OPP_00188,Account_188,Rep_2,Enterprise,AMER,Closed Won,42598,0.4385078199969716,2025-05-29,0,2024-04-25,1
OPP_00189,Account_189,Rep_6,SMB,APAC,Qualification,94812,0.5779891198766873,2025-04-09,0,2024-08-01,1
OPP_00190,Account_190,Rep_11,Enterprise,AMER,Negotiation,21551,0.5149775168743116,2025-06-15,0,2024-12-04,1
OPP_00191,Account_191,Rep_16,SMB,EMEA,Proposal,93511,0.2506876067681147,2025-03-10,0,2024-12-16,1
OPP_00192,Account_192,Rep_16,Mid,EMEA,Closed Lost,69206,0.1737864749610042,2025-03-04,0,2024-05-16,1
OPP_00193,Account_193,Rep_1,Mid,EMEA,Proposal,75900,0.3517674662730341,2025-02-19,0,2024-10-11,1
OPP_00194,Account_194,Rep_9,SMB,APAC,Negotiation,27296,0.6615479111968302,2025-01-12,0,2024-03-11,1
OPP_00195,Account_195,Rep_6,Mid,AMER,Negotiation,91216,0.8160679541645939,2025-03-10,0,2024-09-01,1
OPP_00196,Account_196,Rep_16,Mid,EMEA,Qualification,19066,0.6833135227555402,2025-03-14,0,2024-02-07,1
OPP_00197,Account_197,Rep_3,SMB,APAC,Qualification,29892,0.7114854574228272,2025-02-13,0,2024-08-03,1
OPP_00198,Account_198,Rep_20,SMB,APAC,Proposal,76577,0.48383688536728847,2025-02-21,0,2024-05-06,1
OPP_00199,Account_199,Rep_4,Mid,APAC,Proposal,75590,0.1515835084588072,2025-01-09,0,2024-03-12,1
OPP_00200,Account_200,Rep_19,Mid,APAC,Closed Won,78173,0.40895588382345893,2025-04-28,0,2024-08-13,1
OPP_00201,Account_201,Rep_3,Enterprise,EMEA,Closed Won,77293,0.44824711762552427,2025-01-10,1,2024-11-10,1
OPP_00202,Account_202,Rep_19,Enterprise,AMER,Proposal,65771,0.4005895026328635,2025-02-15,0,2024-10-10,1
OPP_00203,Account_203,Rep_20,Enterprise,APAC,Negotiation,28484,0.5109389730749252,2025-04-13,0,2024-10-28,1
OPP_00204,Account_204,Rep_7,Mid,APAC,Negotiation,78865,0.5882839519785901,2025-02-06,0,2024-09-02,1
OPP_00205,Account_205,Rep_20,SMB,EMEA,Closed Won,28115,0.6706030376486996,2025-02-21,0,2024-03-11,1
OPP_00206,Account_206,Rep_9,SMB,AMER,Proposal,27038,0.4443760271267332,2025-04-09,1,2024-07-13,1
OPP_00207,Account_207,Rep_1,Enterprise,EMEA,Proposal,37622,0.11924811887108128,2025-03-22,1,2024-02-07,1
OPP_00208,Account_208,Rep_8,Mid,EMEA,Proposal,36886,0.403424456141773,2025-01-13,0,2024-04-26,1
OPP_00209,Account_209,Rep_7,SMB,EMEA,Negotiation,52284,0.5087420793983968,2025-05-14,0,2024-08-25,1
OPP_00210,Account_210,Rep_18,SMB,APAC,Proposal,10901,0.7445615844266816,2025-04-11,1,2024-12-29,1
OPP_00211,Account_211,Rep_8,Enterprise,APAC,Proposal,57377,0.3864384315631789,2025-05-08,0,2024-07-22,1
OPP_00212,Account_212,Rep_1,Mid,AMER,Qualification,83910,0.6025087256798803,2025-02-17,0,2024-12-16,1
OPP_00213,Account_213,Rep_11,Mid,EMEA,Closed Won,50862,0.5580175799270864,2025-06-09,0,2024-11-14,1
OPP_00214,Account_214,Rep_18,Mid,EMEA,Qualification,33806,0.5087801066246777,2025-01-11,0,2024-12-24,1
OPP_00215,Account_215,Rep_10,SMB,AMER,Qualification,18659,0.6861066638649183,2025-03-22,0,2024-01-05,1
OPP_00216,Account_216,Rep_3,SMB,EMEA,Proposal,24453,0.36783176064948386,2025-01-05,0,2024-06-05,1
OPP_00217,Account_217,Rep_7,SMB,APAC,Qualification,31498,0.38496271007129673,2025-01-06,1,2024-04-16,1
OPP_00218,Account_218,Rep_16,SMB,EMEA,Negotiation,71393,0.4976198353811544,2025-04-27,1,2024-08-15,1
OPP_00219,Account_219,Rep_16,Enterprise,APAC,Proposal,17312,0.37197069898126,2025-05-29,0,2024-05-21,1
OPP_00220,Account_220,Rep_20,Mid,APAC,Proposal,2436,0.60160245821092,2025-02-11,0,2024-11-09,1
OPP_00221,Account_221,Rep_17,Enterprise,EMEA,Negotiation,28569,0.35736153912677343,2025-03-22,0,2024-06-20,1
OPP_00222,Account_222,Rep_2,Enterprise,AMER,Qualification,59813,0.5452608415490269,2025-06-04,0,2024-05-25,1
